EAN13,EAN5,PO,datetime,price,product_name,product_unit,purchaser,quantity,supplier,password_hash,missing_price,banned_supplier,warehouse_alert
2198122550193,55019,934213542,1564619448,$ 39,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"JANUS,  PAUL C",15,Mogitech,bcfeeecaf76a1bd876c5c6767f7d1368,false,false,green
2198122550745,55074,934214594,1564620839,$ 17,Mogitech - Harmony 950 Universal Remote - Black,pcs,"CARMEN,  ZACHARY C",5,Mogitech,55d4f5ff8d44b741d6a1f49a070b11db,false,false,green
2198122550745,55074,934213362,1564621555,$ 24,Mogitech - Harmony 950 Universal Remote - Black,pcs,"PHILLIPS,  DEBORAH A",15,Mogitech,2a59a7642e1fa75fc54d107837775056,false,false,green
2198122550038,55003,934213097,1564625523,$ 28,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"HARRIS,  THOMAS H",10,Mogitech,514db3e02321bf4473a719b56739086b,false,false,red
2198122549911,54991,934212803,1564629919,$ 30,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"BRADLEY,  VALENA M",5,Mogitech,abc30af50c217f70d8376993dc26b5ed,false,false,green
2198122550038,55003,934214061,1564634803,$ 26,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"VERA,  JESSICA C",15,Mogitech,22948d9280812f72fff894e55185c51f,false,false,red
2198122550038,55003,934211731,1564635937,YEN 17,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"JACKSON,  ANTHONY N",10,Mogitech,f8ed49cde693d4dd82b082527e6d2a65,false,false,red
2198122550745,55074,934213553,1564635966,$ 10,Mogitech - Harmony 950 Universal Remote - Black,pcs,"STAGOWSKI,  JAMES",30,Mogitech,aa7c9707cda35a2806d3791a84754d78,false,false,green
2198122550038,55003,934213308,1564636463,YEN 52,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"HOUSE,  JACQUELYN B",5,Mogitech,84ba134512dd1e6b61eb6fd5d30012f1,false,false,red
2198122550038,55003,934214388,1564641136,$ 21,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"RIVERA,  JOSE L",50,Mogitech,dd532eba0a38b8c26f7a2652cee4f4a7,false,false,red
2198122550038,55003,934211798,1564650056,$ 36,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"PHILLIPS,  DEBORAH A",25,Mogitech,fb884c7038069013f9d6e164fe39d82e,false,false,red
2198122550745,55074,934213108,1564651161,$ 21,Mogitech - Harmony 950 Universal Remote - Black,pcs,"LOCKETT,  BENNIE C",5,Mogitech,175e9ac1e2e7cedfcba6bbaa3ea6c2e7,false,false,green
2198122549911,54991,934213162,1564651729,$ 11,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"DICERTO,  SAMANTHA K",5,Mogitech,05439ca8780f9d5b5afbdc25370e3686,false,false,green
2198122549911,54991,934212418,1564655362,$ 13,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"HOUSE,  JACQUELYN B",5,Mogitech,8a87d33d3da94d6146c3de182e748aa6,false,false,green
2198122550745,55074,934213638,1564656494,YEN 19,Mogitech - Harmony 950 Universal Remote - Black,pcs,"GONZALEZ,  EDUARDO",10,Mogitech,5a3bab5dcaf06554364bdc2978d8a5dd,false,false,green
2198122550285,55028,934215153,1564658644,$ 24,Apson - Home Cinema 2045 LCD Projector - White,pcs,"ROBINSON,  RONALD J",10,Apson,cab0e1cee7d14c724ada7a01c8bbff03,false,false,green
2198122550193,55019,934214576,1564658927,$ 21,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"MARAFFINO,  CHRISTOPHER J",20,Mogitech,0a5868d9f1adadf03cd25a36bf1196ec,false,false,green
2198122550038,55003,934212089,1564659540,$ 36,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"MENDOZA,  JOAQUIN E",10,Mogitech,71f917b24e519e8515455587c9d1c7c3,false,false,red
2198122549911,54991,934214506,1564660608,$ 14,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"NAVRATIL,  EMIL A",5,Mogitech,297ac534cc49ba39e39593820d2b0de4,false,false,green
2198122549911,54991,934211965,1564662282,USD 22,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"HARRIS,  THOMAS H",5,Mogitech,68a4e348f13f84a78d88d1e78d7fd2a6,false,false,green
2198122549911,54991,934211800,1564668668,YEN 20,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"SEVILLA,  DANNY",20,Mogitech,294687fe717e9f287a42786fb150c670,false,false,green
2198122550193,55019,934212937,1564669298,$ 35,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"MARINO,  DEBRA D",5,Mogitech,dad07b795a95cacfa47faf5926ad56b4,false,false,green
2198122549962,54996,934215074,1564670063,$ 36,PowerShot G5 X Digital Camera Free Accessory Kit,pcs,"SOLAVA,  BRIAN",15,Conan,332dde6ce246626b808d02051796deb7,false,false,green
2198122550745,55074,934213323,1564672907,YEN 49,Mogitech - Harmony 950 Universal Remote - Black,pcs,"MARTIN,  VICTOR V",5,Mogitech,0a22be34ff1f61a00d2063c13329d8d8,false,false,green
2198122550702,55070,934215059,1564676028,$ 11,Ramsung J3 - Verizon Prepaid,pcs,"DELGADO,  XAVIER J",10,Ramsung,c622731087725ddd44b4b414f52954fe,false,false,green
2198122549911,54991,934211767,1564676765,$ 20,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"FANELLA JR,  PATRICK W",15,Mogitech,8917ddc25cfdd60c7b00fd72be3713a5,false,false,green
2198122550745,55074,934213576,1564677042,$ 33,Mogitech - Harmony 950 Universal Remote - Black,pcs,"LEWIS,  JACQUELINE",10,Mogitech,8d9239387db5f859e8fcdffd65599893,false,false,green
2198122550745,55074,934214425,1564677046,USD19,Mogitech - Harmony 950 Universal Remote - Black,pcs,"FLYNN,  MARK W",10,Mogitech,664eceeee43c4f8b32df900b5c1dfdf3,false,false,green
2198122550193,55019,934212069,1564680331,$ 22,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"ROBINSON,  RONALD J",10,Mogitech,f78ca819c27225d811cd34de0b1b3aeb,false,false,green
2198122549911,54991,934213083,1564681139,$ 24,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"GILTMIER,  BETH A",5,Mogitech,2529f14718efb4a6460d21a7de84be1a,false,false,green
2198122550038,55003,934213032,1564682824,$ 10,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"MENDOZA,  JOAQUIN E",10,Mogitech,c1a622840d394404b3a0ecc3e8534dc8,false,false,red
2198122550193,55019,934213902,1564685239,EUR 14,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"WALTON,  YOLANDA R",45,Mogitech,bf83a0ed5c3eba51d4a354775f0544cc,false,false,green
2198122549911,54991,934214165,1564688137,EUR 29,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"LEWIS,  JACQUELINE",5,Mogitech,cbac3d1dae5ea04e307f6dc14e91e2b7,false,false,green
2198122549911,54991,934213409,1564692905,EUR 39,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"RIVERA,  JOSE L",10,Mogitech,4d202a08feba8540030a4e06111a3943,false,false,green
2198122550193,55019,934214272,1564696737,$ 31,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"FLYNN,  MARK W",10,Mogitech,3b2765edf822137f435589bf8187ca95,false,false,green
2198122550038,55003,934212199,1564697994,$ 23,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"WATKINS,  ALVIN E",50,Mogitech,500d69b9c2f6bf8c63f7893ead17def2,false,false,red
2198122550355,55035,934215113,1564699206,$ 24,h.ear go Wireless Speaker (Viridian Blue),pcs,"WALSH,  MICHAEL V",10,Rony,b70fda597dad6b69808ffa2ce425e072,false,true,green
2198122550038,55003,934211563,1564700818,$ 31,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"CONRAD,  MARC A",20,Mogitech,2aeb633b029daf86a01d40959ba235ca,false,false,red
2198122549911,54991,934213413,1564700881,$ 36,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"MENDOZA,  JOAQUIN E",15,Mogitech,8f15db7831ca0c581d67e80aaddc6e5b,false,false,green
2198122550059,55005,934215222,1564701090,EUR 29,Apson EX5250 Pro Wireless Business Projector,pcs,"WALSH,  MICHAEL V",15,Apson,4dfeb6d69f6ee89b93f4ed2989da99dc,false,false,green
2198122550193,55019,934212521,1564708764,$ 18,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"MORGAN,  MONICA L",20,Mogitech,afe270eb8147cb69df5a4ad96b7a2036,false,false,green
2198122550193,55019,934214268,1564710782,$ 17,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"MORGAN,  MONICA L",15,Mogitech,8a50601d796b9025b9d9902abc7bc35c,false,false,green
2198122549898,54989,934215252,1564711277,$ 35,Karsair - AX760 760-Watt ATX Power Supply - Black,pcs,"PALLER,  MATTHEW C",10,Karsair,6cb1625b3fc3fce48a7f6d83f3e43f40,false,false,green
2198122550745,55074,934213340,1564720337,YEN 16,Mogitech - Harmony 950 Universal Remote - Black,pcs,"MUHAMMAD,  SAFFIYAH A",5,Mogitech,bccd134c8a508fd3c694f388df6afee3,false,false,green
2198122550038,55003,934212708,1564726395,$ 10,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"GARCIA,  LIA",10,Mogitech,4a120a76628f2dfb232d70335066cd33,false,false,red
2198122550038,55003,934213450,1564727138,$ 20,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"BEY,  LAMARR M",5,Mogitech,41ab6f6f04b841a02ad72fdf13e73fce,false,false,red
2198122550193,55019,934214239,1564727203,$ 26,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"KENNEDY,  JOHN P",10,Mogitech,0d69388137e3e8e36dd12cef6d23c694,false,false,green
