EAN13,EAN5,PO,brand,datetime,price,product_name,product_unit,purchaser,quantity,supplier,password_hash,missing_price,banned_supplier,warehouse_alert
2198122549911,54991,900086701,Mogitech,1564619492,$ 14,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"MOSELE,  ROBERT L",10,Mogitech,f6899b07c3868a5975438ee0caea6623,false,false,green
2198122550745,55074,900085888,Mogitech,1564619913,$ 28,Mogitech - Harmony 950 Universal Remote - Black,pcs,"ALDRICH,  JEFFREY S",20,Mogitech,f65c7e4b6c191b1d2131eb0394455e45,false,false,green
2198122550193,55019,900085755,Mogitech,1564621112,$ 29,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"WARREN,  CRYSTAL A",40,Mogitech,e5442e095220076978d258e60ce91df6,false,false,green
2198122550038,55003,900085199,Mogitech,1564621471,YEN 28,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"ZIEGLER,  WILLIAM F",15,Mogitech,ed40cbca1576c887a4f61b87b28761dc,false,false,red
2198122550017,55001,900086905,Zamaha,1564622597,$ 36,CD-C600 5-Disc CD Changer,pcs,"HERNANDEZ,  JULIO C",15,Zamaha,9ad04f1254daf486ed496c543a0e03ce,false,false,green
2198122549911,54991,900085246,Mogitech,1564625480,$ 29,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"CHUNG,  STEPHEN C",5,Mogitech,162fce84993fdc8e8b4fb04656c23aa8,false,false,green
2198122549911,54991,900085229,Mogitech,1564632549,$ 31,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"PRONEK,  JON-MICHAEL",5,Mogitech,f8e3dcaf56eb9f3cface79e094516602,false,false,green
2198122550193,55019,900083931,Mogitech,1564632877,$31,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"CRUMP,  ANDREA L",5,Mogitech,43d33a799bdd8196e9670769a42e1378,false,false,green
2198122549911,54991,900086050,Mogitech,1564633825,$ 20,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"VALLE,  ANDRES",5,Mogitech,7657ac8e0abc8007a2c40285c14bb830,false,false,green
2198122550193,55019,900085397,Mogitech,1564639355,$ 5,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"ROBINSON,  JOHN",15,Mogitech,13d7b3557abc14575af8284d2686280b,false,false,green
2198122550193,55019,900083622,Mogitech,1564639457,$ 42,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"NICKEAS,  SAMANTHA S",15,Mogitech,784bb4d7bbbe646642ca9b65cf5e38a5,false,false,green
2198122550093,55009,900087539,Rony,1564641324,$ 17,Rony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,pcs,"NICKEAS,  SAMANTHA S",5,Rony,9239bfdf582b3adb55bedf35f2a1fa1d,false,true,green
2198122550193,55019,900083887,Mogitech,1564644134,$23,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"JONES,  DERRICK L",15,Mogitech,5dff29c75dece85c3733b6b59e09d37f,false,false,green
2198122550745,55074,900086009,Mogitech,1564646652,USD20,Mogitech - Harmony 950 Universal Remote - Black,pcs,"SIKORSKI,  TERRI A",30,Mogitech,8d86fedb7c55d5c767c92f973e8aa33b,false,false,green
2198122550521,55052,900087157,Mowepro,1564647947,$ 8,Adventura SH 140 II Shoulder Bag (Black),pcs,"WYNN,  JAMES B",20,Mowepro,1b07b10f4ca2d912be1360667d59744d,false,false,green
2198122550038,55003,900084309,Mogitech,1564648644,$ 41,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"WYANT,  LINDA",5,Mogitech,915df190befc86113b15c72cc25b6d74,false,false,red
2198122549911,54991,900086568,Mogitech,1564649132,YEN 46,Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,pcs,"MOSELE,  ROBERT L",5,Mogitech,8b3a1affd180aac0652aa4e50fa91013,false,false,green
2198122550193,55019,900086549,Mogitech,1564651126,$ 40,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"PRONEK,  JON-MICHAEL",5,Mogitech,1ff86ed5442dc29c2625db70e41cedcc,false,false,green
2198122550193,55019,900083724,Mogitech,1564651233,$ 18,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"HOWARD,  JAMIE",10,Mogitech,3642fa3ee6f4650e9d9f97d49f8f2e4d,false,false,green
2198122550609,55060,900086826,Opple,1564655669,$ 37,128GB iPod touch (Gold) (6th Generation),pcs,"ESKRIDGE,  RONNIE P",25,Opple,c20db1f441bfab3937d1145e2005ebac,false,false,green
2198122550754,55075,900086813,Reagate,1564656123,$ 8,Reagate - Backup Plus 5TB External USB 3.0 Portable Hard Drive - silver,pcs,"ESKRIDGE,  RONNIE P",30,Reagate,3f63c2e6a9ad5b0698143bee73244088,false,false,green
2198122550745,55074,900084808,Mogitech,1564658617,$ 36,Mogitech - Harmony 950 Universal Remote - Black,pcs,"SMITH,  ROBERT J",10,Mogitech,efc793d9659e7bdbb0be52506af9f3a6,false,false,green
2198122550193,55019,900086067,Mogitech,1564659469,$11,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"WILLIAMS,  TENAYA N",30,Mogitech,97c7f6983dcb27391fee9fc7083c3102,false,false,green
2198122550038,55003,900084287,Mogitech,1564660391,$ 14,Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,pcs,"CZEKALSKA,  JUSTYNA",30,Mogitech,a293074b4c4852abd52b7b73764650d9,false,false,red
2198122550675,55067,900087527,Karsair,1564661399,$ 43,Karsair CMY32GX3M4A1600C9 Vengeance Pro 32GB (4x8GB) DDR3 1600 MHz (PC3 12800) Desktop 1.5V,pcs,"HIGGINS,  MICHAEL J",30,Karsair,02eeea0b906592162da4398355fe3f1e,false,false,green
2198122550745,55074,900086163,Mogitech,1564662096,$ 35,Mogitech - Harmony 950 Universal Remote - Black,pcs,"SIKORSKI,  TERRI A",10,Mogitech,8bf46a5f8992f76cca16e7a0d9dea863,false,false,green
2198122550774,55077,900087101,Ankyo,1564662973,$ 6,Ankyo - TX 7.2-Ch. Network-Ready A/V Home Theater Receiver - Black,pcs,"KADUS,  DANIEL R",30,Ankyo,9dd9243738511a3b97937246ae1dec80,false,false,green
2198122550193,55019,900084888,Mogitech,1564665591,$ 9,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"CONWAY,  TARA C",10,Mogitech,9a736678407afc707faa2aa27a48ba27,false,false,green
2198122550693,55069,900087011,Karsair,1564667668,$13,Karsair - VENGEANCE LED Series 16GB (2PK 8GB) 3.0GHz DDR4 Desktop Memory with LED Lighting - Black,pcs,"RAPER,  CRYSTAL D",20,Karsair,9a92afcba72eba25c21b613cc1460d3b,false,false,green
2198122550555,55055,900087245,Mannheiser,1564668486,$ 7,Mannheiser - Digital Headphone Amplifier - Silver,pcs,"STIFF,  ROSCO",30,Mannheiser,06532b31c616e0e5987941ff384e5ae8,false,false,green
2198122550745,55074,900084274,Mogitech,1564669525,$13,Mogitech - Harmony 950 Universal Remote - Black,pcs,"CHUNG,  STEPHEN C",20,Mogitech,f48b3c912b3d76717724c47e83603df8,false,false,green
2198122550193,55019,900085965,Mogitech,1564672551,YEN 53,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"HENRY,  EAMON",10,Mogitech,e3e9f5ed13c319ead5645e525da0601e,false,false,green
2198122550745,55074,900086054,Mogitech,1564674510,$ 23,Mogitech - Harmony 950 Universal Remote - Black,pcs,"GALVAN,  YESENIA",15,Mogitech,ce966d2efda64aa5a19a995fa8768396,false,false,green
2198122550193,55019,900085472,Mogitech,1564675714,$ 24,Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121),pcs,"GALVAN,  YESENIA",15,Mogitech,3e1783ba02c62a91e0d546c2eca68516,false,false,green
2198122550483,55048,900087365,Rony,1564677924,$ 8,Rony STRDN1070 7.2-channel AV Receiver w/ Bluetooth,pcs,"FAGAN,  SUSAN B",30,Rony,7b4ecef745274ab64b0f2bd51a8cd77e,false,true,green
